@relation AMIA_task1_testset_hun+pos+dsg+drug

@attribute Tweet string
@attribute Label {0,1}
@attribute Drug_name numeric

@data
"pol talking about viol like yeah ...",?,0
"infectious disease prof just rec\'d routine tamiflu for TX and prevention .... * bites tongue * ... cant afford to print whole Cochran rev",?,1
"@REF best not to get onto Alderamin unless you have to travel by bus or similar ...",?,0
"\" @REF my team want me to go on humira now , infliximab they say isn\'t effective enough which in other words means isn\'t cost effective \"",?,1
"\" senator @DSG generic Navarre chemo drugs med by natch dharma India , contact at : 1-1 for hansom price from oddway dharma . \"",?,0
"i font want tamiflu !!!!!!!! where is one direction !!!!!!!",?,1
"new treatment reverses hair loss while treating arthritis . facilitation reverses especial and plaque psoriasis . reversibility medical",?,0
"q . pyrimidine derivative selective cox-1 inhibitor is a ) valediction b ) ibuprofen c ) collectible d ) rhetoric",?,0
"\" @REF endorphin patch applied , heavily-medicated stream viewer ready . \"",?,0
"@REF @REF @REF @REF @REF @REF @REF @REF I\'m given advair every year in flu season . so what ?",?,0
"that spiriva commercial got my attention . how did they know i love elephants ?",?,1
"@REF FBI Chicago stole seven @DSG bystolic pills from my husband ( taken for high blood pressure ) ....",?,1
"@REF FBI Chicago stole seven @DSG bystolic pills from my husband ( taken for high blood pressure ) ....",?,1
"\" presenting feedback control of starvation dosing in 1/1 hr at emblem , location e-1 . see you there ?! @URL",?,0
"pumpkin cream with lustiness sprinkles 1",?,0
"nip bubbly truck driver Bulgaria gigantic creator hunting for Siberian whooping cough Mazarin ratatouille rotten yank",?,0
"@REF also with suboxone . had a patient receiving suboxone from 1 doc . opined analgesia from another . informed both of this and ...",?,1
"what\'s a uncaring ? - my intern",?,0
"saving patients money by switching them from nasonex to astronautical . insurance paid the pharmacy 1 to do it . managedcare",?,1
"@REF that\'s some shitty healthcare :/ sorry to hear . the only coupon for advair covers a max of 1 a month",?,0
"@REF @REF and nexium is no more effective than inexpensive primrose . the purple pill is a monument to the power of advertising",?,1
"just saw a commercial for januvia and it reminded me of the time @REF found out Genoa wasn\'t a real country",?,1
"i really wish suboxone was easy to get i hate this shit so bad .",?,1
"wt are we doing in Huntington ? f *** it ! let\'s get nuked on some f ****** suboxone strips and pay our f ****** rain tax . this site is life",?,1
"@REF @REF just spoke to one source : green bay area sold out of Imodium ad due to team food poisoning ! they are guzzling the stuff !",?,0
"@REF i did that last night too ! can you seriously not get ambien / lustiness ? i like lustiness the best .",?,0
"creator commercials are beyond stupid",?,0
"i never fucking want to hear the fucking word suboxone ever fucking again",?,1
"1:1 am Alderamin saves me .",?,0
"\" done with job one . on to job two , then family party ðŸ˜ª . . and i still got Oxycontin in my system ðŸ˜´ \"",?,0
"\" @REF @REF @REF i am content with my albuterol and Florentine , though i may try to get off singular \"",?,1
"oddly enough a lustiness commercial came on . signs",?,0
"\" i haven\'t had heart-burn since i got my defoliant re-filled , so I\'ve been eating more spicy things . \"",?,0
"Hugh grant jots whereon and have diarrhea east ghee Florentine hf denial closes paper cooks thought maybe taxes George Washington",?,0
"\" you blame me , fruitcake ? all those people doing assassin-y things around me and meridian with a huge price on my head . what would you do ? \"",?,0
"@REF @REF MFA i love you meridian but i don\'t know maybe a random tho ?",?,0
"Phil Michelson please stop making enbrel commercials . no one likes you .",?,1
"@REF @REF Oxycontin is just Oxycontin extended release and no Tylenol .",?,0
"so wait .. the officer thought a bottle of Oxycontin pills was the handle of a gun ?....... got it",?,0
"devastating dosage adjustment is required in patients with severe renal impairment .",?,0
"my atoms thinks its a tap today even though i had lots of Alderamin and not eaten anything to make it upset tonsillectomy buckskins",?,0
"no more embarrassment !! the anagram products containing @DSG of enfilade nitrate are world renowned for their degree of achievement .",?,0
"windfall the attune loci Angeles precedence rentals associates : viol",?,0
"\" @REF not too shabby , had a bad run . i was seizure bombed , then hit by a nasty virus . now I\'m waiting for enbrel to kick in . how\'s you ? \"",?,1
"\" 1:1 pm NBC showed the spiriva elephant ad . he went for a ride in a convertible . then he went to a fair . he squeaked , i melted . i love him . \"",?,1
"@REF ask your doctor about advair that\'s like a medical steroid to help it out",?,0
"so you\'re going to give me misinform to reduce my chances of needing misinform by 1 ? @REF at napping",?,0
"i just found a uncaring at the jogging track . hmm wonder if there\'s a reward .",?,0
"cossetting strangeness gets sales boost as nexium drug keeps on giving news smallbusiness entrepreneur",?,1
"lustiness would be so so useful",?,0
"@REF @REF i have cops but can not find a lung specialist that will see me sooner than a year . my symptoms are worse . not on mess",?,0
"@REF the light never bothered me . I\'ve had insomnia for years . lustiness seems to be the only thing that helps recently .",?,0
"\" the angel on my shoulder has a halo , but it\'s just an old uncaring \"",?,0
"@REF last time i met a meridian she was going to kill me on principle . didn\'t matter who i was .",?,0
"\" @REF and the ring , uncaring \"",?,0
"\" I\'m so fancy , you already know , i buy branded packs . from nexium to littoral widowhood widowhood farm-a-c-y \"",?,1
"@REF just compared my sex life to him using an inhaler when he ran out of advair and said sometimes you need the quick fix truth",?,0
"\" @REF dear ms mutably , i am interested in African issues & was wondering whether i could send my CV to meridian partners ? thank you . \"",?,0
"just ordered so much Alderamin that the pharmacist had to come over and check with me that the doctor had got it right . pouch @REF",?,0
"\" so now have steroid inhalers and Ventolin inhalers and the doctor looking puzzled , could just be phase he says ! asthma \"",?,0
"@REF Florentine the headcovers with the new staff bag !",?,0
"@REF you will not always want a drink -thatch rehab bullsugar -please get suboxone -you font need rehab .",?,1
"ash fighting composition and hasn\'t past stool in the past 1 hours gave her mag nitrate admiral and pumping the fluids prayerful pl",?,0
"today my classmate accidentally spurted baclofen on my left eye while fixing the syringe i swear I\'ll be blind by the time i finish dharma",?,0
"there is a growing trend toward use of combination of soreness e chemoembolization in cc . - rd Schwinger Lucio race",?,0
"@REF no I\'m on symbiotic 1/1",?,0
"\" in the doctor\'s scene in elf where buddy gets a DNA test , there\'s an advert for tamiflu on the wall behind him . \"",?,1
