@relation AMIA_task1_training+dev_hun+pos+dsg+drug

@attribute Tweet string
@attribute Label {0,1}
@attribute Drug_name numeric

@data
"I don\'t fucking need humira",0,1
"My retake is next Friday , if I bloody fail again then my doc is going to need to up my fluoxetine and pantyliner dosages again ! : L",0,1
"@REF scared to start fluoxetine , what\'s you\'re opinion on them ? Xx",0,1
"@REF OK , if you stopped taking the Lamictal , give @DSG a week .",0,0
"Novartis announces secularism ( AINU ) demonstrated superiority to Enbrel in head-to-head Phase III psoriasis study .…",0,0
"\" U wailed all night ; now yr disembodied sobbing all damn\'s day , ghost ? \" • EFFEXOR-X DISCONTINUATION SYNDROME AIN\'T EXACTLY HEAVEN , ANGEL",1,0
"Not that anyone noticed , but my withdrawal only lasted a few days . Why ? Because I got another scrip . I need it while I\'m on Levaquin .",1,0
"Oh . I thought the Cymbalta commercial was a joke honestly ...",0,0
"@REF Eek . Just chucked my Victoza in the bin . I will take my chances with the diabetes diabetes",0,0
"At the Cypriot art and archaeology exhibition at the @REF . Love the Cipro-Archaic bird jugs ! Never seen anything like them .",0,0
"Some fantastic talks at this years PRIM . Lots of new work on impacts of fluoxetine in the aquatic environment prozac Antidepressants",0,1
"I have my appointment set to start the Humira on June 1 . I have done well on biologic before ( Remicade ) - hopefully will again . :-)",0,0
"@REF @REF @REF you guys don\'t even know what we\'re doing for you . Markkaa .",0,0
"@REF I take seroquel in day wanna be my friend have to reply to me for me to notice it I get free long distance",0,1
"Debbie just hit the wall , she never had it all , one Prozac a day ..",0,0
"Trazodone does the magic baby",0,0
"@REF @REF I have a consultant letter saying i must have lamictal- things were OK for 1 months , annoyed it\'s started again",0,0
"Finding out I\'m allergic to fluoxetine was a bit of a shock tho . Mind , only someone from Yorkshire could be actually allergic to prozac",1,1
"I\'m up like I don\'t have an SOC in the am ... but that\'s what vyvanse is for lo .",0,1
"@REF your lucky ! I have to do infusions of Remicade for my RA . I would happily do humeral or enbrel if it dint make me stop breathing",1,1
"Fun Facts : Do you know what Eds are R for Mania ? Currently FDA approved : quetiapine AKA Seroquel",0,1
"Hohhot . Nicotine , Valium , Codding , marijuana , ecstasy and alcohol . C-c-c-c-c-cocaine !",0,0
"Denosumab Solves Puzzler Apropos of Chine Losses In favor Mankind Not to mention Prostate Nevus : . Nat",0,0
"Report on Fanapt :)",0,0
"Off to see the GI consultant this week . Hope theirs something other than humira to try as not working also hair falling out .",1,1
"all my niggas keep ah dig no nicotine",0,1
"Yes I do have a bedtime but it is granted to me by Effexor X",0,0
"Pradaxa manufacturer confirmed reports of 1 fatal bleeding cases worldwide that had occurred in a period of three years . 1.1.1.1 .",0,0
"@REF have had no response on double and triple treatments . Have exhausted humors , enbrel , and now on this . Recently taken out of work",0,1
"Ann had a Tysabri infusion & an interview / medical with ALTOS regarding LA . Guess which experience was least joyful ? @URL",0,0
"Only my third all-niter this week . Fuck you Drivel …. but thank you vyvanse and coffee",0,1
"Trazodone . they gave this to my son as a sleep aid . Did any of these \" rs \" see the latest research on antidepressants and bipolar ? bipolar",0,0
"Walking around the north side with a cooler full of Humira syringes problems",0,0
